,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
61,Tristan Prettyman,My Oh My,4AzRVhbDkK6pqW03h5u34I,28,2012,acoustic,0.69,0.803,0,-6.827,0,0.0242,0.00873,0.354,0.136,0.712,96.042,218587,4
62,Ann Sally,Mother's Song,3pkVDKAPIhrpsAR79fa05P,30,2012,acoustic,0.27,0.0758,0,-14.469,1,0.0384,0.961,3.55e-05,0.136,0.354,76.388,310640,4
63,Sara Bareilles,Beautiful Girl,35THgVT9h3X5UTqthKkr4d,29,2012,acoustic,0.708,0.125,7,-12.539,0,0.105,0.961,0.0,0.106,0.383,124.948,242907,4
64,Harley Poe,I Am The Living Dead,4k5Gc1tzDHNnkMQmB3ArkC,29,2012,acoustic,0.554,0.765,2,-8.252,0,0.0363,0.21,0.000114,0.104,0.767,92.43,205493,4
65,The Civil Wars,I Heard The Bells On Christmas Day,1qSBHo7rjtqYdd0XJB8ngq,28,2012,acoustic,0.492,0.145,2,-14.504,0,0.0421,0.872,9.7e-06,0.106,0.218,90.078,154440,4
66,Boyce Avenue,Here Without You,3Fwdij9seLaCGs4yOCQcJM,43,2012,acoustic,0.665,0.559,9,-6.78,0,0.0286,0.684,0.0,0.0843,0.476,143.822,220000,4
67,Tristan Prettyman,I Was Gonna Marry You,2ikbRpHU3pH3Y0va9we9s6,28,2012,acoustic,0.448,0.455,1,-10.041,1,0.0379,0.318,0.0141,0.0969,0.495,82.726,191720,4
68,Ingrid Michaelson,Ghost,6UGhHbDZ76PqGR2C9pdWbb,29,2012,acoustic,0.519,0.484,2,-5.808,1,0.0249,0.357,0.0,0.145,0.291,88.03,241640,4
69,Jason Mraz,You Fckn' Did It - Live,0k78hapVRILyPAdOenCevc,30,2012,acoustic,0.558,0.646,11,-9.822,0,0.071,0.632,0.0,0.972,0.7,124.911,305330,4
70,Andrew Belle,The Daylight,3fy4r3gnyaNejuc7jZwAxG,32,2012,acoustic,0.721,0.571,1,-5.857,1,0.0282,0.0478,0.17,0.0808,0.574,119.993,282742,4
71,Ichiko Aoba,IMPERIAL SMOKE TOWN,0awBHWlzmycfbukAxGecCK,31,2012,acoustic,0.511,0.153,10,-18.468,0,0.0651,0.989,0.244,0.0918,0.0568,113.496,437733,3
72,Steve Petrunak,O Come All Ye Faithful,2VPVtEqfCbxwrgQRdNPKp1,29,2012,acoustic,0.469,0.241,8,-11.934,1,0.0443,0.846,0.976,0.113,0.598,111.097,142253,4
73,Boyce Avenue,Somebody That I Used to Know,0UrGdW00AYx3eqNmzLHIEf,40,2012,acoustic,0.729,0.408,11,-10.078,0,0.0323,0.345,0.0,0.0957,0.263,120.02,238200,4
74,Steve Petrunak,Angels We Have Heard on High,4zUrEicnZk7cXYcntIX12b,28,2012,acoustic,0.487,0.17,2,-14.93,1,0.047,0.87,0.58,0.15,0.225,97.965,203853,4
75,Ingrid Michaelson,How We Love,4FFnf39apAJSeKp1qXNovT,27,2012,acoustic,0.666,0.114,4,-13.755,1,0.0565,0.913,3.25e-06,0.111,0.293,119.791,213640,4
76,Eric Hutchinson,Not There Yet,3492c69DsiY9PZsjspF2cb,27,2012,acoustic,0.72,0.839,9,-4.138,1,0.0326,0.0772,0.0,0.672,0.968,122.007,205187,4
77,Steve Petrunak,The Old Guitar,2NXoEhxRepl0NKHYDw9s5N,31,2012,acoustic,0.542,0.342,1,-8.939,1,0.0481,0.851,0.948,0.17,0.17,120.4,165373,4
78,Jon Bryant,Evening Sun,23FJw5F8nipFrzkZviz5vQ,29,2012,acoustic,0.45,0.254,11,-13.203,1,0.0299,0.756,0.0177,0.104,0.195,77.396,214703,4
79,Boyce Avenue,The One That Got Away,1Llvr4v5Y0rZtm494ak7oh,42,2012,acoustic,0.655,0.502,8,-7.962,1,0.0349,0.579,0.0,0.117,0.368,123.931,247705,4
80,Steve Petrunak,Have Yourself a Merry Little Christmas,2aIibN0HnNczY7sQQi4JIg,28,2012,acoustic,0.461,0.135,7,-14.374,1,0.0645,0.947,0.881,0.11,0.197,137.922,159280,4
81,Otis Spann,Someday (Electric),5ZUxxja3WzBZUFF6P9M9HN,34,2012,acoustic,0.581,0.333,0,-14.209,1,0.032,0.944,0.472,0.332,0.488,94.197,206800,3
82,Harley Poe,Vampire's Night Out,7jN7uoP2ov1VVo9XguFEio,27,2012,acoustic,0.365,0.522,9,-7.854,1,0.0702,0.174,0.0,0.182,0.492,166.242,252213,4
83,Harley Poe,That Time Of The Month,7dWYhwVvcWIKsXaPBLdDHg,27,2012,acoustic,0.567,0.609,2,-7.941,1,0.0767,0.173,2.13e-06,0.15,0.522,92.506,257147,4
