,artist_name,track_name,track_id,popularity,year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
49,Taj Mahal,Shady Grove,6MVmw9Ea73B1XQjbAu6uuw,33,2012,acoustic,0.581,0.55,1,-11.719,1,0.0394,0.878,0.742,0.112,0.66,126.128,565787,4
50,David Ramirez,Find the Light,7jhcBzFm4W2UpFPa9fZFlR,31,2012,acoustic,0.617,0.131,11,-12.775,1,0.0331,0.903,0.000536,0.105,0.394,129.31,197253,4
51,Ichiko Aoba,kanashii yume o mitara,52RSwU0HHP9ugX2K7j8iar,34,2012,acoustic,0.474,0.0374,5,-20.324,1,0.0479,0.993,0.021,0.102,0.224,135.099,179787,5
52,Ichiko Aoba,hikari no furusato,7c59LJZv6klezUN3jRCXE6,35,2012,acoustic,0.404,0.0427,3,-19.076,1,0.0397,0.99,0.224,0.0852,0.181,74.137,192147,4
53,Amos Lee,Simple Things,0GK6pzHhJNuxRPOULLPFo6,33,2012,acoustic,0.498,0.17,10,-11.818,1,0.0341,0.889,0.000561,0.0998,0.165,131.976,201360,4
54,Jason Mraz,The Freedom Song,7hevpquSrhFLsEUzbDFrWB,33,2012,acoustic,0.661,0.693,6,-7.562,0,0.0578,0.0872,0.0,0.086,0.848,94.045,239987,4
55,Steve Petrunak,Walking in a Winter Wonderland,3mng76g6guqrd0Lb9gJ0LX,32,2012,acoustic,0.518,0.269,7,-11.957,1,0.0498,0.93,0.857,0.115,0.356,116.262,134120,4
56,Kris Allen,Better with You,77xgXc56h19AhTLKrWcijW,42,2012,acoustic,0.732,0.712,0,-5.672,1,0.0252,0.17,0.0,0.0809,0.772,101.005,194147,4
57,Steve Petrunak,Silver Bells,7HKRdvf1PWH1Ml7xJzV2NV,31,2012,acoustic,0.341,0.171,1,-15.618,1,0.0485,0.905,0.909,0.126,0.42,89.618,160040,3
58,Boyce Avenue,Glad You Came,4LlCL8KQCa5CNStnDg4eSA,40,2012,acoustic,0.722,0.542,6,-8.703,0,0.0371,0.135,0.0,0.168,0.444,125.998,195933,4
59,Boyce Avenue,Superman,6AyGrpqr2TeGCTXj1nuzbv,41,2012,acoustic,0.587,0.209,9,-10.426,1,0.0304,0.759,0.0,0.113,0.247,105.669,194093,4
60,Eric Hutchinson,The Basement,5lGimjX5CT7gL0kwB1AqQF,31,2012,acoustic,0.544,0.921,7,-3.93,1,0.0505,0.00348,0.0,0.215,0.65,165.949,214880,4
